trial_id,kata,treatment,integrante,loc_total,vulns_total,vulns_por_kloc,vulns_error,vulns_warning,vulns_info
trial-gabriel-01-etiquetas-de-preco-com_ia,etiquetas-de-preco,com_ia,gabriel,41,0,0.0,0,0,0
trial-gabriel-02-fila-do-caixa-sem_ia,fila-do-caixa,sem_ia,gabriel,28,0,0.0,0,0,0
trial-gabriel-03-estoque-do-deposito-com_ia,estoque-do-deposito,com_ia,gabriel,42,0,0.0,0,0,0
trial-gabriel-04-blocos-aninhados-sem_ia,blocos-aninhados,sem_ia,gabriel,31,0,0.0,0,0,0
trial-gabriel-05-cofre-de-senhas-com_ia,cofre-de-senhas,com_ia,gabriel,79,0,0.0,0,0,0
trial-gabriel-06-elevador-do-predio-sem_ia,elevador-do-predio,sem_ia,gabriel,26,0,0.0,0,0,0
trial-felipe-01-elevador-do-predio-sem_ia,elevador-do-predio,sem_ia,felipe,28,0,0.0,0,0,0
trial-felipe-02-etiquetas-de-preco-com_ia,etiquetas-de-preco,com_ia,felipe,41,0,0.0,0,0,0
trial-felipe-03-fila-do-caixa-sem_ia,fila-do-caixa,sem_ia,felipe,31,0,0.0,0,0,0
trial-felipe-04-estoque-do-deposito-com_ia,estoque-do-deposito,com_ia,felipe,44,0,0.0,0,0,0
trial-felipe-05-blocos-aninhados-sem_ia,blocos-aninhados,sem_ia,felipe,25,0,0.0,0,0,0
trial-felipe-06-cofre-de-senhas-com_ia,cofre-de-senhas,com_ia,felipe,65,0,0.0,0,0,0
trial-arthur-01-cofre-de-senhas-sem_ia,cofre-de-senhas,sem_ia,arthur,118,0,0.0,0,0,0
trial-arthur-03-etiquetas-de-preco-sem_ia,etiquetas-de-preco,sem_ia,arthur,46,0,0.0,0,0,0
trial-arthur-05-estoque-do-deposito-sem_ia,estoque-do-deposito,sem_ia,arthur,42,0,0.0,0,0,0
trial-arthur-02-elevador-do-predio-com_ia,elevador-do-predio,com_ia,arthur,24,0,0.0,0,0,0
trial-arthur-04-fila-do-caixa-com_ia,fila-do-caixa,com_ia,arthur,27,0,0.0,0,0,0
trial-arthur-06-blocos-aninhados-com_ia,blocos-aninhados,com_ia,arthur,28,0,0.0,0,0,0
